page	section	item	key	field	en	ms	content_type	translatable	render	ms_status	en_chars	ms_chars	len_ratio	glossary_hits	draft	placeholder	correction	has_image	image_ref
index	media		common.media.captions.homeHero	homeHero	Grow through every stage.	Berkembang di setiap peringkat.	microcopy	TRUE	static	translated	25	31	1.24		TRUE	FALSE		TRUE	assets/img/anchors/home-hero.webp
index	media		common.media.alts.homeHero	homeHero	Illustration of the Urbane Ethos centre building with families, children and therapists gathered in the garden and car park outside	Ilustrasi bangunan pusat Urbane Ethos dengan keluarga, kanak-kanak dan ahli terapi berkumpul di taman dan tempat letak kereta di luar	alt-text	TRUE	static	translated	131	133	1.02	Centre;Child;Children;Families	TRUE	FALSE		TRUE	assets/img/anchors/home-hero.webp
index	hero		home.hero.eyebrow	eyebrow	Urbane Ethos	Urbane Ethos	eyebrow	TRUE	static	identical	12	12	1.00		FALSE	FALSE		TRUE	assets/img/anchors/home-hero.webp
index	hero		home.hero.title	title	Urbane Ethos Early Intervention Center	Pusat Intervensi Awal Urbane Ethos	heading	TRUE	static	translated	38	34	0.89	Early Intervention;Urbane Ethos Early Intervention Center;Center	FALSE	FALSE		FALSE	
index	hero		home.hero.headline	headline	Therapy for every stage of life	Terapi untuk setiap peringkat kehidupan	microcopy	TRUE	unresolved	translated	31	39	1.26		FALSE	FALSE		FALSE	
index	hero		home.hero.subtitle	subtitle	We offer client centered rehabilitation and therapy for motor development, sensory integration, speech-language therapy as well as social and cognitive stimulation for neurodivergent individuals ranging from toddlers, children, adults and elderly.	Kami menawarkan pemulihan dan terapi berpusatkan klien untuk perkembangan motor, integrasi sensori, terapi pertuturan-bahasa serta rangsangan sosial dan kognitif bagi individu neurodivergen daripada bayi, kanak-kanak, dewasa hingga warga emas.	body	TRUE	static	translated	247	243	0.98	Center;Child;Children;Adult	FALSE	FALSE		TRUE	assets/img/anchors/home-hero.webp
index	hero		home.hero.primaryCta	primaryCta	Find Out More	Ketahui Lebih Lanjut	cta	TRUE	static	translated	13	20	1.54	Find Out More	FALSE	FALSE		TRUE	assets/img/anchors/home-hero.webp
index	hero		home.hero.secondaryCta	secondaryCta	Watch our intro	Tonton pengenalan kami	cta	TRUE	unresolved	translated	15	22	1.47	Watch our intro	FALSE	FALSE		FALSE	
index	personalization		home.personalization.heading	heading	Tell us a little about the person who needs support	Ceritakan sedikit tentang orang yang memerlukan sokongan	heading	TRUE	static	translated	51	56	1.10		TRUE	FALSE		FALSE	
index	personalization		home.personalization.subheading	subheading	You, your child, or someone you care for — any age. Skip if you'd rather browse on your own.	Anda, anak anda, atau orang yang anda sayangi — pada sebarang usia. Langkau jika anda lebih suka melihat-lihat sendiri.	body	TRUE	static	translated	92	119	1.29	Child	TRUE	FALSE		FALSE	
index	personalization		home.personalization.ageLabel	ageLabel	Age group	Kumpulan umur	label	TRUE	static	translated	9	13	1.44		FALSE	FALSE		FALSE	
index	personalization	0	home.personalization.ageOptions[0].value	value	early-years	early-years	non-copy	FALSE	unresolved	identical	11	11	1.00		FALSE	FALSE		FALSE	
index	personalization	0	home.personalization.ageOptions[0].label	label	0–3 · Early years	0–3 · Awal kanak-kanak	option	TRUE	unresolved	translated	17	22	1.29	Early years	FALSE	FALSE		FALSE	
index	personalization	1	home.personalization.ageOptions[1].value	value	preschool	preschool	non-copy	FALSE	unresolved	identical	9	9	1.00	Preschool	FALSE	FALSE		FALSE	
index	personalization	1	home.personalization.ageOptions[1].label	label	4–6 · Preschool	4–6 · Prasekolah	option	TRUE	unresolved	translated	15	16	1.07	Preschool	FALSE	FALSE		FALSE	
index	personalization	2	home.personalization.ageOptions[2].value	value	school-age	school-age	non-copy	FALSE	unresolved	identical	10	10	1.00		FALSE	FALSE		FALSE	
index	personalization	2	home.personalization.ageOptions[2].label	label	7–12 · School age	7–12 · Usia sekolah	option	TRUE	unresolved	translated	17	19	1.12	School age	FALSE	FALSE		FALSE	
index	personalization	3	home.personalization.ageOptions[3].value	value	teen	teen	non-copy	FALSE	unresolved	identical	4	4	1.00		FALSE	FALSE		FALSE	
index	personalization	3	home.personalization.ageOptions[3].label	label	13–17 · Teenager	13–17 · Remaja	option	TRUE	unresolved	translated	16	14	0.88	Teenager	FALSE	FALSE		FALSE	
index	personalization	4	home.personalization.ageOptions[4].value	value	adult	adult	non-copy	FALSE	unresolved	identical	5	5	1.00	Adult	FALSE	FALSE		FALSE	
index	personalization	4	home.personalization.ageOptions[4].label	label	18–59 · Adult	18–59 · Dewasa	option	TRUE	unresolved	translated	13	14	1.08	Adult	FALSE	FALSE		FALSE	
index	personalization	5	home.personalization.ageOptions[5].value	value	older-adult	older-adult	non-copy	FALSE	unresolved	identical	11	11	1.00	Adult	FALSE	FALSE		FALSE	
index	personalization	5	home.personalization.ageOptions[5].label	label	60+ · Older adult	60+ · Warga emas	option	TRUE	unresolved	translated	17	16	0.94	Adult;Older adult	FALSE	FALSE		FALSE	
index	personalization		home.personalization.concernLabel	concernLabel	Main areas of concern — choose any that apply	Bidang utama yang membimbangkan — pilih mana-mana yang berkaitan	label	TRUE	static	translated	45	64	1.42		FALSE	FALSE		FALSE	
index	personalization	0	home.personalization.concernOptions[0].value	value	speech	speech	non-copy	FALSE	unresolved	identical	6	6	1.00		FALSE	FALSE		FALSE	
index	personalization	0	home.personalization.concernOptions[0].label	label	Speech & communication	Pertuturan & komunikasi	option	TRUE	unresolved	translated	22	23	1.05	Speech & communication	FALSE	FALSE		FALSE	
index	personalization	1	home.personalization.concernOptions[1].value	value	motor-skills	motor-skills	non-copy	FALSE	unresolved	identical	12	12	1.00		FALSE	FALSE		FALSE	
index	personalization	1	home.personalization.concernOptions[1].label	label	Movement & motor skills	Pergerakan & kemahiran motor	option	TRUE	unresolved	translated	23	28	1.22	Movement & motor skills	FALSE	FALSE		FALSE	
index	personalization	2	home.personalization.concernOptions[2].value	value	behaviour	behaviour	non-copy	FALSE	unresolved	identical	9	9	1.00		FALSE	FALSE		FALSE	
index	personalization	2	home.personalization.concernOptions[2].label	label	Behaviour & emotions	Tingkah laku & emosi	option	TRUE	unresolved	translated	20	20	1.00	Behaviour & emotions	FALSE	FALSE		FALSE	
index	personalization	3	home.personalization.concernOptions[3].value	value	learning	learning	non-copy	FALSE	unresolved	identical	8	8	1.00		FALSE	FALSE		FALSE	
index	personalization	3	home.personalization.concernOptions[3].label	label	Learning & cognition	Pembelajaran & kognitif	option	TRUE	unresolved	translated	20	23	1.15	Learning & cognition	FALSE	FALSE		FALSE	
index	personalization	4	home.personalization.concernOptions[4].value	value	daily-living	daily-living	non-copy	FALSE	unresolved	identical	12	12	1.00		FALSE	FALSE		FALSE	
index	personalization	4	home.personalization.concernOptions[4].label	label	Daily living & independence	Kehidupan seharian & berdikari	option	TRUE	unresolved	translated	27	30	1.11	Daily living & independence	FALSE	FALSE		FALSE	
index	personalization	5	home.personalization.concernOptions[5].value	value	not-sure	not-sure	non-copy	FALSE	unresolved	identical	8	8	1.00		FALSE	FALSE		FALSE	
index	personalization	5	home.personalization.concernOptions[5].label	label	Not sure	Tidak pasti	option	TRUE	unresolved	translated	8	11	1.38	Not sure	FALSE	FALSE		FALSE	
index	personalization		home.personalization.stageLabel	stageLabel	What stage are you at?	Anda berada di peringkat mana?	label	TRUE	static	translated	22	30	1.36		FALSE	FALSE		FALSE	
index	personalization	0	home.personalization.stageOptions[0].value	value	exploring	exploring	non-copy	FALSE	unresolved	identical	9	9	1.00		FALSE	FALSE		FALSE	
index	personalization	0	home.personalization.stageOptions[0].label	label	Just exploring	Sekadar melihat-lihat	option	TRUE	unresolved	translated	14	21	1.50	Just exploring	FALSE	FALSE		FALSE	
index	personalization	1	home.personalization.stageOptions[1].value	value	assessing	assessing	non-copy	FALSE	unresolved	identical	9	9	1.00		FALSE	FALSE		FALSE	
index	personalization	1	home.personalization.stageOptions[1].label	label	Looking to assess	Ingin membuat penilaian	option	TRUE	unresolved	translated	17	23	1.35	Looking to assess	FALSE	FALSE		FALSE	
index	personalization	2	home.personalization.stageOptions[2].value	value	booking	booking	non-copy	FALSE	unresolved	identical	7	7	1.00		FALSE	FALSE		FALSE	
index	personalization	2	home.personalization.stageOptions[2].label	label	Ready to book	Sedia untuk menempah	option	TRUE	unresolved	translated	13	20	1.54	Ready to book	FALSE	FALSE		FALSE	
index	personalization		home.personalization.ageNotes.child	child	For children 12 and below, ask us about the Early Intervention Programme — school-readiness sessions (ages 6–12) and play group (ages 3–5).	Untuk kanak-kanak 12 tahun ke bawah, tanya kami tentang Program Intervensi Awal — sesi kesediaan sekolah (umur 6–12) dan kumpulan bermain (umur 3–5).	microcopy	TRUE	unresolved	translated	139	149	1.07	Early Intervention;Early Intervention Program;Session;Child;Children	TRUE	FALSE		FALSE	
index	personalization		home.personalization.ageNotes.teen	teen	For teens we run social-skills groups (13–18), vocational skills training (15+) and an ADL group for adolescents, alongside individual therapy.	Untuk remaja, kami menjalankan kumpulan kemahiran sosial (13–18), latihan kemahiran vokasional (15+) dan kumpulan Aktiviti Kehidupan Seharian (ADL) untuk remaja, di samping terapi individu.	microcopy	TRUE	unresolved	translated	143	189	1.32		TRUE	FALSE		FALSE	
index	personalization		home.personalization.ageNotes.adult	adult	Adults are welcome too — individual occupational therapy, speech-language therapy, clinical psychology and cognitive stimulation sessions.	Dewasa juga dialu-alukan — sesi individu Terapi Carakerja, terapi pertuturan-bahasa, Psikologi Klinikal dan rangsangan kognitif.	microcopy	TRUE	unresolved	translated	138	128	0.93	Occupational Therapy;Clinical Psychology;Session;Adult	TRUE	FALSE		FALSE	
